CustomerID,SurveyDate,SatisfactionScore,CustomerFeedback,AgeGroup,Gender,Region,RepeatCustomer
CUST00115,2024-01-05 18:00:00,1.0,Customer support was helpful.,46-60,Female,Australia,1
CUST00116,2024-01-05 19:00:00,5.0,Product quality needs improvement.,18-25,Female,Africa,0
CUST00117,2024-01-05 20:00:00,10.0,Product did not meet expectations.,36-45,Female,Africa,0
CUST00118,2024-01-05 21:00:00,7.0,Product quality needs improvement.,46-60,Female,Africa,1
CUST00119,2024-01-05 22:00:00,7.0,Very satisfied!,60+,Male,Asia,0
CUST00120,2024-01-05 23:00:00,9.0,Product did not meet expectations.,18-25,Non-Binary,Europe,0
CUST00121,2024-01-06 00:00:00,10.0,Product quality needs improvement.,46-60,Female,Australia,1
CUST00122,2024-01-06 01:00:00,10.0,Shipping was fast.,46-60,Non-Binary,Africa,1
CUST00123,2024-01-06 02:00:00,3.0,Product did not meet expectations.,46-60,Male,South America,1
CUST00124,2024-01-06 03:00:00,7.0,Very satisfied!,46-60,Non-Binary,North America,0
CUST00125,2024-01-06 04:00:00,1.0,Product did not meet expectations.,36-45,Non-Binary,Asia,1
CUST00126,2024-01-06 05:00:00,5.482161270365023,Very satisfied!,60+,Male,Africa,0
CUST00127,2024-01-06 06:00:00,4.0,Product did not meet expectations.,60+,Female,Europe,0
CUST00128,2024-01-06 07:00:00,5.0,Product quality needs improvement.,18-25,Non-Binary,North America,1
CUST00129,2024-01-06 08:00:00,7.0,Customer support was helpful.,26-35,Prefer not to say,Australia,1
CUST00130,2024-01-06 09:00:00,7.0,Had issues with billing.,36-45,Non-Binary,Africa,0
CUST00131,2024-01-06 10:00:00,4.0,Product quality needs improvement.,18-25,Female,Europe,1
CUST00132,2024-01-06 11:00:00,7.0,Great service!,18-25,Prefer not to say,North America,1
CUST00133,2024-01-06 12:00:00,3.0,Delivery was late.,46-60,Female,South America,0
CUST00134,2024-01-06 13:00:00,6.0,Customer support was helpful.,26-35,Non-Binary,Asia,1
CUST00135,2024-01-06 14:00:00,2.0,Shipping was fast.,26-35,Male,Australia,1
CUST00136,2024-01-06 15:00:00,10.0,Website was easy to use.,36-45,Female,Europe,1
CUST00137,2024-01-06 16:00:00,9.0,Product quality needs improvement.,26-35,Female,South America,0
CUST00138,2024-01-06 17:00:00,5.0,Product did not meet expectations.,18-25,Male,Asia,1
CUST00139,2024-01-06 18:00:00,6.0,Product quality needs improvement.,26-35,Non-Binary,Asia,1
CUST00140,2024-01-06 19:00:00,4.0,Price is too high.,26-35,Female,South America,0
CUST00141,2024-01-06 20:00:00,10.0,Customer support was helpful.,60+,Non-Binary,Europe,0
CUST00142,2024-01-06 21:00:00,7.0,Had issues with billing.,18-25,Non-Binary,Asia,0
CUST00143,2024-01-06 22:00:00,9.0,Shipping was fast.,26-35,Non-Binary,Australia,0
CUST00144,2024-01-06 23:00:00,7.0,Price is too high.,26-35,Male,North America,1
CUST00145,2024-01-07 00:00:00,1.0,Very satisfied!,46-60,Non-Binary,Australia,0
CUST00146,2024-01-07 01:00:00,1.0,Price is too high.,26-35,Non-Binary,Africa,0
CUST00147,2024-01-07 02:00:00,9.0,Product quality needs improvement.,26-35,Prefer not to say,Asia,1
CUST00148,2024-01-07 03:00:00,9.0,Shipping was fast.,60+,Prefer not to say,North America,0
CUST00149,2024-01-07 04:00:00,4.0,Product quality needs improvement.,18-25,Prefer not to say,South America,0
CUST00150,2024-01-07 05:00:00,9.0,Very satisfied!,36-45,Female,North America,1
CUST00151,2024-01-07 06:00:00,3.0,Website was easy to use.,18-25,Female,North America,0
CUST00152,2024-01-07 07:00:00,7.0,Shipping was fast.,46-60,Prefer not to say,North America,0
CUST00153,2024-01-07 08:00:00,6.0,Website was easy to use.,18-25,Male,Asia,1
CUST00154,2024-01-07 09:00:00,8.0,Customer support was helpful.,26-35,Male,Africa,1
CUST00155,2024-01-07 10:00:00,9.0,Customer support was helpful.,46-60,Prefer not to say,Africa,1
CUST00156,2024-01-07 11:00:00,5.0,Website was easy to use.,18-25,Female,Europe,1
CUST00157,2024-01-07 12:00:00,1.0,Customer support was helpful.,46-60,Female,Africa,1
CUST00158,2024-01-07 13:00:00,3.0,Shipping was fast.,36-45,Male,Asia,1
CUST00159,2024-01-07 14:00:00,10.0,Product did not meet expectations.,18-25,Non-Binary,Europe,1
CUST00160,2024-01-07 15:00:00,8.0,Great service!,26-35,Male,South America,1
CUST00161,2024-01-07 16:00:00,6.0,Customer support was helpful.,46-60,Non-Binary,South America,1
CUST00162,2024-01-07 17:00:00,8.0,Customer support was helpful.,60+,Female,South America,1
CUST00163,2024-01-07 18:00:00,9.0,Product quality needs improvement.,46-60,Female,South America,1
CUST00164,2024-01-07 19:00:00,4.0,Website was easy to use.,60+,Prefer not to say,South America,1
CUST00165,2024-01-07 20:00:00,5.482161270365023,Delivery was late.,26-35,Female,Australia,0
CUST00166,2024-01-07 21:00:00,1.0,Had issues with billing.,36-45,Non-Binary,Asia,1
CUST00167,2024-01-07 22:00:00,10.0,Price is too high.,60+,Male,Europe,1
CUST00168,2024-01-07 23:00:00,4.0,Customer support was helpful.,36-45,Prefer not to say,South America,1
CUST00169,2024-01-08 00:00:00,7.0,Price is too high.,46-60,Non-Binary,Australia,1
CUST00170,2024-01-08 01:00:00,2.0,Shipping was fast.,26-35,Male,Africa,1
CUST00171,2024-01-08 02:00:00,3.0,Delivery was late.,60+,Male,Australia,0
CUST00172,2024-01-08 03:00:00,1.0,Had issues with billing.,46-60,Male,Australia,0
CUST00173,2024-01-08 04:00:00,5.0,Website was easy to use.,18-25,Female,Asia,0
CUST00174,2024-01-08 05:00:00,1.0,Great service!,46-60,Male,South America,0
CUST00175,2024-01-08 06:00:00,8.0,Had issues with billing.,36-45,Female,Australia,1
CUST00176,2024-01-08 07:00:00,1.0,Had issues with billing.,26-35,Male,Australia,0
CUST00177,2024-01-08 08:00:00,1.0,Great service!,26-35,Male,South America,0
CUST00178,2024-01-08 09:00:00,2.0,Product did not meet expectations.,46-60,Female,Asia,1
CUST00179,2024-01-08 10:00:00,2.0,Website was easy to use.,18-25,Female,Australia,0
CUST00180,2024-01-08 11:00:00,6.0,Product quality needs improvement.,36-45,Non-Binary,Europe,0
CUST00181,2024-01-08 12:00:00,7.0,Price is too high.,46-60,Male,North America,1
CUST00182,2024-01-08 13:00:00,5.0,Customer support was helpful.,46-60,Female,Africa,1
CUST00183,2024-01-08 14:00:00,1.0,Had issues with billing.,26-35,Non-Binary,North America,0
CUST00184,2024-01-08 15:00:00,1.0,Shipping was fast.,36-45,Non-Binary,North America,1
CUST00185,2024-01-08 16:00:00,3.0,Great service!,18-25,Female,Asia,0
CUST00186,2024-01-08 17:00:00,2.0,Price is too high.,26-35,Male,Australia,1
CUST00187,2024-01-08 18:00:00,5.0,Delivery was late.,46-60,Non-Binary,North America,0
CUST00188,2024-01-08 19:00:00,10.0,Great service!,26-35,Male,North America,0
CUST00189,2024-01-08 20:00:00,6.0,Delivery was late.,26-35,Male,Africa,0
CUST00190,2024-01-08 21:00:00,7.0,Website was easy to use.,60+,Non-Binary,South America,1
CUST00191,2024-01-08 22:00:00,4.0,Had issues with billing.,26-35,Female,Australia,1
CUST00192,2024-01-08 23:00:00,7.0,Shipping was fast.,26-35,Male,Australia,0
CUST00193,2024-01-09 00:00:00,8.0,Customer support was helpful.,36-45,Prefer not to say,Africa,1
CUST00194,2024-01-09 01:00:00,1.0,Delivery was late.,26-35,Female,South America,1
CUST00195,2024-01-09 02:00:00,6.0,Price is too high.,18-25,Non-Binary,Australia,0
CUST00196,2024-01-09 03:00:00,8.0,Product did not meet expectations.,46-60,Prefer not to say,Europe,1
CUST00197,2024-01-09 04:00:00,5.482161270365023,Website was easy to use.,36-45,Male,Africa,1
CUST00198,2024-01-09 05:00:00,4.0,Product did not meet expectations.,26-35,Female,Asia,0
CUST00199,2024-01-09 06:00:00,2.0,Website was easy to use.,18-25,Prefer not to say,South America,0
CUST00200,2024-01-09 07:00:00,6.0,Product quality needs improvement.,46-60,Female,Africa,1
CUST00201,2024-01-09 08:00:00,6.0,Price is too high.,36-45,Male,North America,1
CUST00202,2024-01-09 09:00:00,1.0,Product did not meet expectations.,18-25,Female,Australia,1
CUST00203,2024-01-09 10:00:00,9.0,Shipping was fast.,26-35,Prefer not to say,Europe,0
CUST00204,2024-01-09 11:00:00,6.0,Had issues with billing.,60+,Female,Europe,1
CUST00205,2024-01-09 12:00:00,3.0,Great service!,60+,Non-Binary,Asia,1
CUST00206,2024-01-09 13:00:00,4.0,Customer support was helpful.,36-45,Non-Binary,Africa,1
CUST00207,2024-01-09 14:00:00,4.0,Had issues with billing.,18-25,Prefer not to say,Europe,1
CUST00208,2024-01-09 15:00:00,3.0,Had issues with billing.,46-60,Female,Africa,1
CUST00209,2024-01-09 16:00:00,10.0,Website was easy to use.,18-25,Prefer not to say,Australia,1
CUST00210,2024-01-09 17:00:00,3.0,Shipping was fast.,60+,Female,Australia,0
CUST00211,2024-01-09 18:00:00,3.0,Website was easy to use.,36-45,Male,Europe,0
CUST00212,2024-01-09 19:00:00,4.0,Very satisfied!,26-35,Non-Binary,Australia,0
CUST00213,2024-01-09 20:00:00,7.0,Delivery was late.,18-25,Male,Africa,1
CUST00214,2024-01-09 21:00:00,4.0,Customer support was helpful.,60+,Female,Australia,1
CUST00215,2024-01-09 22:00:00,9.0,Delivery was late.,46-60,Male,North America,0
CUST00216,2024-01-09 23:00:00,1.0,Great service!,36-45,Prefer not to say,Africa,0
CUST00217,2024-01-10 00:00:00,8.0,Very satisfied!,26-35,Prefer not to say,South America,0
CUST00218,2024-01-10 01:00:00,7.0,Price is too high.,18-25,Female,Australia,0
CUST00219,2024-01-10 02:00:00,2.0,Great service!,46-60,Non-Binary,Australia,0
CUST00220,2024-01-10 03:00:00,8.0,Great service!,26-35,Prefer not to say,Africa,1
CUST00221,2024-01-10 04:00:00,1.0,Product quality needs improvement.,60+,Non-Binary,Asia,1
CUST00222,2024-01-10 05:00:00,9.0,Customer support was helpful.,60+,Female,South America,1
CUST00223,2024-01-10 06:00:00,9.0,Website was easy to use.,46-60,Non-Binary,South America,1
CUST00224,2024-01-10 07:00:00,2.0,Shipping was fast.,60+,Female,South America,1
CUST00225,2024-01-10 08:00:00,7.0,Delivery was late.,36-45,Male,Europe,0
CUST00226,2024-01-10 09:00:00,10.0,Great service!,46-60,Female,North America,0
CUST00227,2024-01-10 10:00:00,3.0,Delivery was late.,60+,Male,North America,1
CUST00228,2024-01-10 11:00:00,7.0,Delivery was late.,18-25,Female,Asia,0
CUST00229,2024-01-10 12:00:00,10.0,Price is too high.,60+,Prefer not to say,South America,1
CUST00230,2024-01-10 13:00:00,9.0,Customer support was helpful.,36-45,Prefer not to say,South America,1
CUST00231,2024-01-10 14:00:00,5.482161270365023,Customer support was helpful.,26-35,Non-Binary,Australia,0
CUST00232,2024-01-10 15:00:00,1.0,Product did not meet expectations.,26-35,Female,Africa,1
CUST00233,2024-01-10 16:00:00,2.0,Had issues with billing.,60+,Female,Europe,1
CUST00234,2024-01-10 17:00:00,5.482161270365023,No Feedback,26-35,Female,Europe,1
CUST00235,2024-01-10 18:00:00,5.0,Delivery was late.,60+,Non-Binary,Asia,0
CUST00236,2024-01-10 19:00:00,5.0,Website was easy to use.,36-45,Prefer not to say,North America,0
CUST00237,2024-01-10 20:00:00,7.0,Delivery was late.,26-35,Female,South America,1
CUST00238,2024-01-10 21:00:00,5.482161270365023,No Feedback,18-25,Non-Binary,Africa,1
CUST00239,2024-01-10 22:00:00,9.0,Product did not meet expectations.,60+,Female,Asia,0
CUST00240,2024-01-10 23:00:00,3.0,Website was easy to use.,26-35,Male,Europe,0
CUST00241,2024-01-11 00:00:00,3.0,Customer support was helpful.,36-45,Female,Europe,0
CUST00242,2024-01-11 01:00:00,3.0,Price is too high.,36-45,Male,Europe,0
CUST00243,2024-01-11 02:00:00,4.0,Website was easy to use.,18-25,Non-Binary,South America,1
CUST00244,2024-01-11 03:00:00,8.0,Delivery was late.,36-45,Non-Binary,South America,1
CUST00245,2024-01-11 04:00:00,6.0,Shipping was fast.,36-45,Prefer not to say,South America,1
CUST00246,2024-01-11 05:00:00,5.482161270365023,Customer support was helpful.,26-35,Female,Australia,0
CUST00247,2024-01-11 06:00:00,1.0,Shipping was fast.,60+,Non-Binary,North America,0
CUST00248,2024-01-11 07:00:00,8.0,Very satisfied!,46-60,Prefer not to say,Europe,1
CUST00249,2024-01-11 08:00:00,4.0,Very satisfied!,36-45,Female,Europe,0
CUST00250,2024-01-11 09:00:00,1.0,Delivery was late.,36-45,Non-Binary,Australia,1
CUST00251,2024-01-11 10:00:00,8.0,Very satisfied!,46-60,Male,Europe,0
CUST00252,2024-01-11 11:00:00,4.0,Had issues with billing.,36-45,Non-Binary,Europe,1
CUST00253,2024-01-11 12:00:00,6.0,Product did not meet expectations.,26-35,Male,South America,1
CUST00254,2024-01-11 13:00:00,8.0,Customer support was helpful.,26-35,Prefer not to say,South America,1
CUST00255,2024-01-11 14:00:00,4.0,Shipping was fast.,46-60,Prefer not to say,North America,1
CUST00256,2024-01-11 15:00:00,3.0,Delivery was late.,36-45,Female,Europe,0
CUST00257,2024-01-11 16:00:00,9.0,Had issues with billing.,36-45,Female,Asia,1
CUST00258,2024-01-11 17:00:00,3.0,Delivery was late.,60+,Female,Europe,1
CUST00259,2024-01-11 18:00:00,9.0,Had issues with billing.,36-45,Prefer not to say,Europe,1
CUST00260,2024-01-11 19:00:00,2.0,Very satisfied!,26-35,Male,North America,1
CUST00261,2024-01-11 20:00:00,2.0,Very satisfied!,18-25,Female,Asia,0
CUST00262,2024-01-11 21:00:00,5.482161270365023,No Feedback,18-25,Female,Europe,1
CUST00263,2024-01-11 22:00:00,6.0,Product quality needs improvement.,18-25,Prefer not to say,Africa,1
CUST00264,2024-01-11 23:00:00,3.0,Delivery was late.,18-25,Male,Africa,0
CUST00265,2024-01-12 00:00:00,9.0,Website was easy to use.,36-45,Non-Binary,Asia,1
CUST00266,2024-01-12 01:00:00,4.0,Customer support was helpful.,36-45,Female,Africa,1
CUST00267,2024-01-12 02:00:00,1.0,Website was easy to use.,60+,Non-Binary,South America,1
CUST00268,2024-01-12 03:00:00,4.0,Great service!,36-45,Non-Binary,South America,1
CUST00269,2024-01-12 04:00:00,1.0,Very satisfied!,18-25,Female,Asia,0
CUST00270,2024-01-12 05:00:00,5.0,Great service!,46-60,Prefer not to say,Europe,0
CUST00271,2024-01-12 06:00:00,4.0,Delivery was late.,46-60,Female,Asia,0
CUST00272,2024-01-12 07:00:00,8.0,Shipping was fast.,26-35,Male,Africa,0
CUST00273,2024-01-12 08:00:00,8.0,Shipping was fast.,26-35,Male,Asia,0
CUST00274,2024-01-12 09:00:00,7.0,Customer support was helpful.,36-45,Female,Africa,0
CUST00275,2024-01-12 10:00:00,3.0,Website was easy to use.,46-60,Non-Binary,South America,1
CUST00276,2024-01-12 11:00:00,1.0,Shipping was fast.,18-25,Male,Asia,1
CUST00277,2024-01-12 12:00:00,1.0,Had issues with billing.,18-25,Male,Australia,1
CUST00278,2024-01-12 13:00:00,3.0,Had issues with billing.,18-25,Female,Africa,1
CUST00279,2024-01-12 14:00:00,6.0,Customer support was helpful.,36-45,Female,Australia,0
CUST00280,2024-01-12 15:00:00,7.0,Product did not meet expectations.,36-45,Prefer not to say,South America,1
CUST00281,2024-01-12 16:00:00,6.0,Very satisfied!,60+,Female,Europe,1
CUST00282,2024-01-12 17:00:00,6.0,Website was easy to use.,18-25,Female,Africa,0
CUST00283,2024-01-12 18:00:00,6.0,Delivery was late.,18-25,Male,Europe,1
CUST00284,2024-01-12 19:00:00,3.0,Price is too high.,36-45,Male,South America,1
CUST00285,2024-01-12 20:00:00,6.0,Price is too high.,36-45,Male,Europe,0
CUST00286,2024-01-12 21:00:00,8.0,Price is too high.,60+,Non-Binary,Africa,1
CUST00287,2024-01-12 22:00:00,2.0,Shipping was fast.,60+,Male,North America,1
CUST00288,2024-01-12 23:00:00,5.0,Product did not meet expectations.,26-35,Male,Africa,0
CUST00289,2024-01-13 00:00:00,1.0,Product did not meet expectations.,46-60,Female,Africa,1
CUST00290,2024-01-13 01:00:00,1.0,Website was easy to use.,18-25,Prefer not to say,Australia,1
CUST00291,2024-01-13 02:00:00,5.0,Website was easy to use.,18-25,Male,North America,1
CUST00292,2024-01-13 03:00:00,3.0,Product did not meet expectations.,60+,Prefer not to say,North America,1
CUST00293,2024-01-13 04:00:00,4.0,Customer support was helpful.,60+,Male,North America,1
CUST00294,2024-01-13 05:00:00,3.0,Website was easy to use.,26-35,Male,Africa,0
CUST00295,2024-01-13 06:00:00,1.0,Customer support was helpful.,46-60,Prefer not to say,South America,1
CUST00296,2024-01-13 07:00:00,1.0,Great service!,26-35,Female,North America,1
CUST00297,2024-01-13 08:00:00,5.0,Had issues with billing.,46-60,Male,Asia,1
CUST00298,2024-01-13 09:00:00,6.0,Very satisfied!,18-25,Prefer not to say,Europe,0
CUST00299,2024-01-13 10:00:00,3.0,Website was easy to use.,26-35,Male,South America,0
