CustomerID,SurveyDate,SatisfactionScore,CustomerFeedback,AgeGroup,Gender,Region,RepeatCustomer,Sentiment,YearMonth,CleanFeedback,IssueCategory
CUST00165,2024-01-07 20:00:00,,Delivery was late.,26-35,Female,Australia,0,Negative,2024-01,delivery late,Delivery Issues
CUST00166,2024-01-07 21:00:00,1.0,Had issues with billing.,36-45,Non-Binary,Asia,1,Neutral,2024-01,issues billing,Other
CUST00167,2024-01-07 22:00:00,10.0,Price is too high.,60+,Male,Europe,1,Positive,2024-01,price high,Pricing
CUST00168,2024-01-07 23:00:00,4.0,Customer support was helpful.,36-45,Prefer not to say,South America,1,Neutral,2024-01,customer support helpful,Customer Service
CUST00169,2024-01-08 00:00:00,7.0,Price is too high.,46-60,Non-Binary,Australia,1,Positive,2024-01,price high,Pricing
CUST00170,2024-01-08 01:00:00,2.0,Shipping was fast.,26-35,Male,Africa,1,Positive,2024-01,shipping fast,Delivery Issues
CUST00171,2024-01-08 02:00:00,3.0,Delivery was late.,60+,Male,Australia,0,Negative,2024-01,delivery late,Delivery Issues
CUST00172,2024-01-08 03:00:00,1.0,Had issues with billing.,46-60,Male,Australia,0,Neutral,2024-01,issues billing,Other
CUST00173,2024-01-08 04:00:00,5.0,Website was easy to use.,18-25,Female,Asia,0,Positive,2024-01,website easy use,Other
CUST00174,2024-01-08 05:00:00,1.0,Great service!,46-60,Male,South America,0,Positive,2024-01,great service,Other
CUST00175,2024-01-08 06:00:00,8.0,Had issues with billing.,36-45,Female,Australia,1,Neutral,2024-01,issues billing,Other
CUST00176,2024-01-08 07:00:00,1.0,Had issues with billing.,26-35,Male,Australia,0,Neutral,2024-01,issues billing,Other
CUST00177,2024-01-08 08:00:00,1.0,Great service!,26-35,Male,South America,0,Positive,2024-01,great service,Other
CUST00178,2024-01-08 09:00:00,2.0,Product did not meet expectations.,46-60,Female,Asia,1,Neutral,2024-01,product meet expectations,Other
CUST00179,2024-01-08 10:00:00,2.0,Website was easy to use.,18-25,Female,Australia,0,Positive,2024-01,website easy use,Other
CUST00180,2024-01-08 11:00:00,6.0,Product quality needs improvement.,36-45,Non-Binary,Europe,0,Neutral,2024-01,product quality needs improvement,Product Quality
CUST00181,2024-01-08 12:00:00,7.0,Price is too high.,46-60,Male,North America,1,Positive,2024-01,price high,Pricing
CUST00182,2024-01-08 13:00:00,5.0,Customer support was helpful.,46-60,Female,Africa,1,Neutral,2024-01,customer support helpful,Customer Service
CUST00183,2024-01-08 14:00:00,1.0,Had issues with billing.,26-35,Non-Binary,North America,0,Neutral,2024-01,issues billing,Other
CUST00184,2024-01-08 15:00:00,1.0,Shipping was fast.,36-45,Non-Binary,North America,1,Positive,2024-01,shipping fast,Delivery Issues
CUST00185,2024-01-08 16:00:00,3.0,Great service!,18-25,Female,Asia,0,Positive,2024-01,great service,Other
CUST00186,2024-01-08 17:00:00,2.0,Price is too high.,26-35,Male,Australia,1,Positive,2024-01,price high,Pricing
CUST00187,2024-01-08 18:00:00,5.0,Delivery was late.,46-60,Non-Binary,North America,0,Negative,2024-01,delivery late,Delivery Issues
CUST00188,2024-01-08 19:00:00,10.0,Great service!,26-35,Male,North America,0,Positive,2024-01,great service,Other
CUST00189,2024-01-08 20:00:00,6.0,Delivery was late.,26-35,Male,Africa,0,Negative,2024-01,delivery late,Delivery Issues
CUST00190,2024-01-08 21:00:00,7.0,Website was easy to use.,60+,Non-Binary,South America,1,Positive,2024-01,website easy use,Other
CUST00191,2024-01-08 22:00:00,4.0,Had issues with billing.,26-35,Female,Australia,1,Neutral,2024-01,issues billing,Other
CUST00192,2024-01-08 23:00:00,7.0,Shipping was fast.,26-35,Male,Australia,0,Positive,2024-01,shipping fast,Delivery Issues
CUST00193,2024-01-09 00:00:00,8.0,Customer support was helpful.,36-45,Prefer not to say,Africa,1,Neutral,2024-01,customer support helpful,Customer Service
CUST00194,2024-01-09 01:00:00,1.0,Delivery was late.,26-35,Female,South America,1,Negative,2024-01,delivery late,Delivery Issues
CUST00195,2024-01-09 02:00:00,6.0,Price is too high.,18-25,Non-Binary,Australia,0,Positive,2024-01,price high,Pricing
CUST00196,2024-01-09 03:00:00,8.0,Product did not meet expectations.,46-60,Prefer not to say,Europe,1,Neutral,2024-01,product meet expectations,Other
CUST00197,2024-01-09 04:00:00,,Website was easy to use.,36-45,Male,Africa,1,Positive,2024-01,website easy use,Other
CUST00198,2024-01-09 05:00:00,4.0,Product did not meet expectations.,26-35,Female,Asia,0,Neutral,2024-01,product meet expectations,Other
CUST00199,2024-01-09 06:00:00,2.0,Website was easy to use.,18-25,Prefer not to say,South America,0,Positive,2024-01,website easy use,Other
CUST00200,2024-01-09 07:00:00,6.0,Product quality needs improvement.,46-60,Female,Africa,1,Neutral,2024-01,product quality needs improvement,Product Quality
CUST00201,2024-01-09 08:00:00,6.0,Price is too high.,36-45,Male,North America,1,Positive,2024-01,price high,Pricing
CUST00202,2024-01-09 09:00:00,1.0,Product did not meet expectations.,18-25,Female,Australia,1,Neutral,2024-01,product meet expectations,Other
CUST00203,2024-01-09 10:00:00,9.0,Shipping was fast.,26-35,Prefer not to say,Europe,0,Positive,2024-01,shipping fast,Delivery Issues
CUST00204,2024-01-09 11:00:00,6.0,Had issues with billing.,60+,Female,Europe,1,Neutral,2024-01,issues billing,Other
CUST00205,2024-01-09 12:00:00,3.0,Great service!,60+,Non-Binary,Asia,1,Positive,2024-01,great service,Other
CUST00206,2024-01-09 13:00:00,4.0,Customer support was helpful.,36-45,Non-Binary,Africa,1,Neutral,2024-01,customer support helpful,Customer Service
CUST00207,2024-01-09 14:00:00,4.0,Had issues with billing.,18-25,Prefer not to say,Europe,1,Neutral,2024-01,issues billing,Other
CUST00208,2024-01-09 15:00:00,3.0,Had issues with billing.,46-60,Female,Africa,1,Neutral,2024-01,issues billing,Other
